X,Y,Z
7.40175,1.91581,-0.311015
7.40175,1.90265,-0.311015
7.40075,1.88925,-0.310962
7.40075,1.87609,-0.310962
7.45075,1.87529,-0.313578
7.49375,1.87259,-0.315827
7.44675,-1.72697,-0.313369
7.38975,-1.72622,-0.310387
7.35775,-1.73145,-0.308713
7.35775,-1.74453,-0.308713
7.35775,-1.75761,-0.308713
7.35775,-1.77069,-0.308713
7.35775,-1.78377,-0.308713
7.40175,1.92897,-0.324173
7.40175,1.91581,-0.324173
7.40175,1.90265,-0.324173
7.40075,1.88925,-0.324119
7.40075,1.87609,-0.324119
7.45075,1.87529,-0.326825
7.49375,1.87259,-0.329152
7.44675,-1.72697,-0.326609
7.38975,-1.72622,-0.323524
7.35775,-1.73145,-0.321792
7.35775,-1.74453,-0.321792
7.35775,-1.75761,-0.321792
7.35775,-1.77069,-0.321792
7.35775,-1.78377,-0.321792
7.40175,1.92897,-0.337332
7.40175,1.91581,-0.337332
7.40175,1.90265,-0.337332
7.40075,1.88925,-0.337276
7.40075,1.87609,-0.337276
7.45075,1.87529,-0.340072
7.49375,1.87259,-0.342477
7.44675,-1.72697,-0.339848
7.38975,-1.72622,-0.336661
7.35775,-1.73145,-0.334872
7.35775,-1.74453,-0.334872
7.35775,-1.75761,-0.334872
7.35775,-1.77069,-0.334872
7.35775,-1.78377,-0.334872
7.40175,1.92897,-0.350491
7.40175,1.91581,-0.350491
7.40175,1.90265,-0.350491
7.40075,1.88925,-0.350433
7.40075,1.87609,-0.350433
7.45075,1.87529,-0.353319
7.49375,1.87259,-0.355801
7.44675,-1.72697,-0.353088
7.38975,-1.72622,-0.349798
7.35775,-1.73145,-0.347951
7.35775,-1.74453,-0.347951
7.35775,-1.75761,-0.347951
7.35775,-1.77069,-0.347951
7.35775,-1.78377,-0.347951
7.40175,1.92897,-0.36365
7.40175,1.91581,-0.36365
7.40175,1.90265,-0.36365
7.40075,1.88925,-0.36359
7.40075,1.87609,-0.36359
7.45075,1.87529,-0.366567
7.49375,1.87259,-0.369126
7.44675,-1.72697,-0.366328
7.38975,-1.72622,-0.362935
7.35775,-1.73145,-0.361031
7.35775,-1.74453,-0.361031
7.35775,-1.75761,-0.361031
7.35775,-1.77069,-0.361031
7.35775,-1.78377,-0.361031
7.40175,1.92897,-0.376809
7.40175,1.91581,-0.376809
7.40175,1.90265,-0.376809
7.40075,1.88925,-0.376747
7.40075,1.87609,-0.376747
7.45075,1.87529,-0.379814
7.49375,1.87259,-0.382451
7.44675,-1.72697,-0.379568
7.38975,-1.72622,-0.376073
7.35775,-1.73145,-0.37411
7.35775,-1.74453,-0.37411
7.35775,-1.75761,-0.37411
7.35775,-1.77069,-0.37411
7.35775,-1.78377,-0.37411
7.40175,1.92897,-0.389967
7.40175,1.91581,-0.389967
7.40175,1.90265,-0.389967
7.40075,1.88925,-0.389904
7.40075,1.87609,-0.389904
7.45075,1.87529,-0.393061
7.49375,1.87259,-0.395776
7.44675,-1.72697,-0.392808
7.38975,-1.72622,-0.38921
7.35775,-1.73145,-0.387189
7.35775,-1.74453,-0.387189
7.35775,-1.75761,-0.387189
7.35775,-1.77069,-0.387189
7.35775,-1.78377,-0.387189
7.40175,1.92897,-0.403126
7.40175,1.91581,-0.403126
7.40175,1.90265,-0.403126
7.40075,1.88925,-0.403061
7.40075,1.87609,-0.403061
7.45075,1.87529,-0.406308
7.49375,1.87259,-0.4091
7.44675,-1.72697,-0.406048
7.38975,-1.72622,-0.402347
7.35775,-1.73145,-0.400269
7.35775,-1.74453,-0.400269
7.35775,-1.75761,-0.400269
7.35775,-1.77069,-0.400269
7.35775,-1.78377,-0.400269
7.40175,1.92897,-0.416285
7.40175,1.91581,-0.416285
7.40175,1.90265,-0.416285
7.40075,1.88925,-0.416218
7.40075,1.87609,-0.416218
7.45075,1.87529,-0.419555
7.49375,1.87259,-0.422425
7.44675,-1.72697,-0.419288
7.38975,-1.72622,-0.415484
7.35775,-1.73145,-0.413348
7.35775,-1.74453,-0.413348
7.35775,-1.75761,-0.413348
7.35775,-1.77069,-0.413348
